pity.n.02	an unfortunate development	REGRET_SORRY
shadowing.n.01	the act of following someone secretly	FOLLOW-IN-SPACE
chasse.n.01	(ballet) quick gliding steps with one foot always leading	PERFORM
degradation.n.01	changing to a lower state (a less respected state)	DOWNPLAY_HUMILIATE
cheat.n.05	a deception for profit to yourself	DECEIVE
bridle.n.02	the act of restraining power or action or limiting excess	RESTRAIN
delay.n.02	the act of delaying; inactivity resulting in something being put off until a later time	DELAY
chirp.n.01	a sharp sound made by small birds or insects	MAKE-A-SOUND
contemplation.n.02	a calm, lengthy, intent consideration	TAKE-INTO-ACCOUNT_CONSIDER
pull-up.n.02	an arm exercise performed by pulling yourself up on a horizontal bar until your chin is level with the bar	RAISE
chink.n.03	a short light metallic sound	MAKE-A-SOUND
notch.n.04	a small cut	CUT
contribution.n.03	act of giving in common with others for a common purpose especially to a charity	GIVE_GIFT
giving.n.01	the act of giving	GIVE_GIFT
chlorination.n.02	disinfection of water by the addition of small amounts of chlorine or a chlorine compound	TREAT-WITH/BY
choking.n.02	the act of suffocating (someone) by constricting the windpipe	HURT_HARM_ACHE
preferment.n.01	the act of preferring	LIKE
harmonization.n.02	singing in harmony	SING
pass.n.15	(sports) the act of throwing the ball to another member of your team	THROW
tap.n.08	a light touch or stroke	TOUCH
circularization.n.01	circulating printed notices as a means of advertising	PUBLICIZE
circulation.n.02	movement through a circuit; especially the movement of blood through the heart and blood vessels	MOVE-SOMETHING
circulation.n.05	free movement or passage (as of cytoplasm within a cell or sap through a plant)	MOVE-SOMETHING
evasion.n.03	nonperformance of something distasteful (as by deceit or trickery) that you are supposed to do	LEAVE_DEPART_RUN-AWAY
rotation.n.01	the act of rotating as if on an axis	ROLL
struggle.n.03	strenuous effort	TRY
clang.n.01	a loud resonant repeating noise	MAKE-A-SOUND
clearing.n.03	the act of removing solid particles from a liquid	WASH_CLEAN
crack.n.04	a sudden sharp noise	MAKE-A-SOUND
climb.n.02	an event that involves rising to a higher point (as in altitude or temperature or intensity etc.)	RAISE
climb.n.03	the act of climbing something	RAISE
waxing.n.02	a gradual increase in magnitude or extent	INCREASE_ENLARGE_MULTIPLY
jog.n.02	a slow pace of running	RUN
jogging.n.01	running at a jog trot as a form of cardiopulmonary exercise	RUN
crop.n.01	the yield from plants in a single growing season	AMASS
cover.n.03	the act of concealing the existence of something by obstructing the view of it	CLOUD_SHADOW_HIDE
mask.n.02	activity that tries to conceal something	CLOUD_SHADOW_HIDE
thump.n.01	a heavy dull sound (as made by impact of heavy objects)	MAKE-A-SOUND
shutting.n.01	the act of closing something	CLOSE
closure.n.07	termination of operations	FINISH_CONCLUDE_END
enclosure.n.02	the act of enclosing something inside something else	ENCLOSE_WRAP
cloud.n.02	a visible mass of water or ice particles suspended at a considerable altitude	METEOROLOGICAL
repletion.n.02	eating until excessively full	NOURISH_FEED
training.n.01	activity leading to skilled behavior	PREPARE
collaboration.n.01	act of working jointly	ALLY_ASSOCIATE_MARRY
slide.n.05	the act of moving smoothly along a surface while remaining in contact with it	MOVE-SOMETHING
power_play.n.01	an aggressive attempt to compel acquiescence by the concentration or manipulation of power	OBLIGE_FORCE
gyration.n.02	the act of rotating in a circle or spiral	MOVE-ONESELF
rebuff.n.01	a deliberate discourteous act (usually as an expression of anger or disapproval)	BEHAVE
snub.n.02	a refusal to recognize someone you know	REFUSE
subsumption.n.02	incorporating something under a more general category	INCLUDE-AS
connivance.n.01	agreement on a secret plot	ALLY_ASSOCIATE_MARRY
colonization.n.01	the act of colonizing; the establishment of colonies	CONQUER
discoloration.n.02	the act of changing the natural color of something by making it duller or dingier or unnatural or faded	COLOR
succession.n.03	the action of following in order	SORT_CLASSIFY_ARRANGE
rejoinder.n.01	a quick reply to a question or remark (especially a witty or critical one)	ANSWER
egress.n.03	the act of coming (or going) out; becoming apparent	SHOW
emergence.n.02	the becoming visible	APPEAR
emergence.n.03	the act of emerging	APPEAR
entrance.n.03	the act of entering	ENTER
confection.n.02	the act of creating something (a medicine or drink or soup etc.) by compounding or mixing a variety of components	COMBINE_MIX_UNITE
commemoration.n.01	a ceremony to honor the memory of someone or something	CELEBRATE_PARTY
consecration.n.01	a solemn commitment of your life or your time to some cherished purpose (to a service or a goal)	ASSIGN-smt-to-smn
dedication.n.02	a ceremony in which something (as a building) is dedicated to some goal or purpose	CELEBRATE_PARTY
communication.n.01	the activity of communicating; the activity of conveying information	INFORM
infection.n.04	an incident in which an infectious disease is transmitted	CONTRACT-AN-ILLNESS_INFECT
substitution.n.02	the act of putting one thing or person in the place of another:	REPLACE
compaction.n.01	an increase in the density of something	CHANGE-APPEARANCE/STATE
complication.n.01	the act or process of complicating	COMPLEXIFY
refinement.n.02	the result of improving something	AMELIORATE
congratulation.n.02	(usually plural) an expression of pleasure at the success or good fortune of another	APPROVE_PRAISE
incorporation.n.03	including by incorporating	COMBINE_MIX_UNITE
focalization.n.02	the act of bringing into focus	ADJUST_CORRECT
condensation.n.02	the process of changing from a gaseous to a liquid or solid state	CHANGE-APPEARANCE/STATE
condensing.n.01	the act of increasing the density of something	CONVERT
conducting.n.02	the direction of an orchestra or choir	MANAGE
ratification.n.01	making something valid by formally ratifying or confirming it	FOLLOW_SUPPORT_SPONSOR_FUND
confrontation.n.04	the act of hostile groups opposing each other	FIGHT
theorization.n.01	the production or use of theories	THINK
marriage.n.03	the act of marrying; the nuptial ceremony	ALLY_ASSOCIATE_MARRY
coupling.n.03	the act of pairing a male and female for reproductive purposes	HAVE-SEX
stall.n.04	a malfunction in the flight of an aircraft in which there is a sudden loss of lift that results in a downward plunge	BREAK_DETERIORATE
union.n.11	the act of making or becoming a single unit	JOIN_CONNECT
inhibition.n.01	(psychology) the conscious exclusion of unacceptable thoughts or desires	PRECLUDE_FORBID_EXPEL
suppression.n.03	forceful prevention; putting down by power or authority	SUBJUGATE
conscription.n.01	compulsory military service	OBLIGE_FORCE
preservation.n.01	the activity of protecting something from loss or danger	PRESERVE
economy.n.04	an act of economizing; reduction in cost	RETAIN_KEEP_SAVE-MONEY
consolidation.n.02	the act of combining into an integral whole	COMBINE_MIX_UNITE
constitution.n.02	the act of forming or establishing something	ESTABLISH
interpretation.n.04	an explanation of something that is not immediately obvious	INTERPRET
consummation.n.02	the act of bringing to completion or fruition	HAVE-SEX
line.n.29	a conceptual separation or distinction	SEPARATE_FILTER_DETACH
invention.n.03	the act of inventing	CREATE_MATERIALIZE
operation.n.11	the activity of operating something (a machine or business etc.)	OPERATE
convention.n.05	the act of convening	MEET
convergence.n.01	the occurrence of two or more things coming together	COMBINE_MIX_UNITE
distortion.n.05	the act of distorting something so it seems to mean something it was not intended to mean	DECEIVE
convulsion.n.02	violent uncontrollable contractions of muscles	PRESS_PUSH_FOLD
organization.n.04	the act of organizing a business or an activity related to a business	ORGANIZE
copying.n.01	an act of copying	COPY
re-creation.n.01	the act of creating again	CREATE_MATERIALIZE
rust.n.03	the formation of reddish-brown ferric oxides on iron by low-temperature oxidation in the presence of water	CORRODE_WEAR-AWAY_SCRATCH
discharge.n.06	the pouring forth of a fluid	FLOW
flow.n.01	the motion characteristic of fluids (liquids or gases)	SPILL_POUR
flow.n.03	the act of flowing or streaming; continuous progression	FLOW
covering.n.04	the act of protecting something by covering it	COVER_SPREAD_SURMOUNT
grazing.n.02	the act of brushing against while passing	TOUCH
creation.n.01	the human act of creating	CREATE_MATERIALIZE
creation.n.03	the event that occurred at the beginning of something	CREATE_MATERIALIZE
pinch.n.06	a squeeze with the fingers	PRESS_PUSH_FOLD
cultivation.n.02	(agriculture) production of food by preparing the land to grow crops (especially on a large scale)	GROW_PLOW
miscegenation.n.01	reproduction by parents of different races (especially by white and non-white persons)	GIVE-BIRTH
cross-fertilization.n.01	fertilization by the union of male and female gametes from different individual of the same species	COMBINE_MIX_UNITE
cruise.n.01	an ocean trip taken for pleasure	TRAVEL
squeeze.n.05	a twisting squeeze	PRESS_PUSH_FOLD
demolition.n.02	the act of demolishing	DESTROY
cuddle.n.01	a close and affectionate (and often prolonged) embrace	TOUCH
cull.n.01	the person or thing that is rejected or set aside as inferior in quality	DISCARD
film_editing.n.01	the activity of selecting the scenes to be shown and putting them together to create a film	MOUNT_ASSEMBLE_PRODUCE
excavation.n.01	the act of digging	EXTRACT
mutilation.n.01	an injury that causes disfigurement or that deprives you of a limb or other important body part	HURT_HARM_ACHE
cycle.n.03	a periodically repeated sequence of events	REPEAT
pat.n.01	the sound made by a gentle blow	TOUCH
dalliance.n.01	the deliberate act of delaying and playing instead of working	DELAY
damage.n.01	the occurrence of a change for the worse	WORSEN
damage.n.03	the act of damaging something or someone	HURT_HARM_ACHE
dancing.n.01	taking a series of rhythmical steps (and movements) in time to music	DANCE
swing.n.04	changing location by moving back and forth	MOVE-SOMETHING
suspension.n.06	the act of suspending something (hanging it from above so it moves freely)	HANG
dare.n.01	a challenge to do something dangerous or foolhardy	FACE_CHALLENGE
waver.n.03	the act of moving back and forth	MOVE-ONESELF
smashing.n.01	the act of breaking something into small pieces	BREAK_DETERIORATE
plastering.n.01	the application of plaster	COVER_SPREAD_SURMOUNT
deactivation.n.02	the act of deactivating or making ineffective (as a bomb)	SWITCH-OFF_TURN-OFF_SHUT-DOWN
dealing.n.01	method or manner of conduct in relation to others	BEHAVE
deal.n.01	a particular instance of buying or selling	SELL
sell.n.01	the activity of persuading someone to buy	SELL
trade.n.01	the commercial exchange (buying and selling on domestic or international markets) of goods and services	NEGOTIATE
deal.n.08	the act of distributing playing cards	CIRCULATE_SPREAD_DISTRIBUTE
repudiation.n.03	the exposure of falseness or pretensions	PROVE
decay.n.05	the spontaneous disintegration of a radioactive substance along with the emission of ionizing radiation	CONVERT
deceleration.n.01	a decrease in rate of change	SLOW-DOWN
recitation.n.02	a public instance of reciting or repeating (from memory) something prepared in advance	PERFORM
nonacceptance.n.01	the act of refusing an offer	REFUSE
relaxation.n.01	(physiology) the gradual lengthening of inactive muscle or muscle fibers	EXTEND
rest.n.02	freedom from activity (work or strain or responsibility)	REST
dissociation.n.01	the act of removing from association	DISBAND_BREAK-UP
deduction.n.04	reasoning from the general to the particular (or from cause to effect)	INFER
representation.n.03	the act of representing; standing in for someone or some group and speaking with authority in their behalf	REPRESENT
shaping.n.01	any process serving to define the shape of something	SHAPE
deflation.n.03	the act of letting the air out of something	REDUCE_DIMINISH
tasting.n.03	taking a small amount into the mouth to test its quality	TASTE
dehydration.n.03	the process of extracting moisture	DRY
deification.n.03	the elevation of a person (as to the status of a god)	RAISE
pleasure.n.04	an activity that affords enjoyment	ENJOY
lineation.n.02	the act of marking or outlining with lines	PAINT
presentation.n.04	the act of presenting a proposal	PROPOSE
downpour.n.01	a heavy rain	METEOROLOGICAL
flood.n.05	the act of flooding; filling to overflowing	FILL
submergence.n.01	sinking until covered completely with water	DIP_DIVE
disarming.n.01	act of reducing or depriving of arms	STEAL_DEPRIVE
presentation.n.02	a show or display; the act of presenting something to sight or view	SHOW
razing.n.02	complete destruction of a building	DESTROY
march.n.02	the act of marching; walking with regular steps (especially in a procession of some kind)	GO-FORWARD
march.n.04	a procession of people walking together	GO-FORWARD
designation.n.03	the act of designating or identifying something	RECOGNIZE_ADMIT_IDENTIFY
pitting.n.01	the formation of small pits in a surface as a consequence of corrosion	HOLE_PIERCE
refusal.n.01	the act of refusing	REFUSE
deviation.n.01	a variation that deviates from the standard or norm	DISTINGUISH_DIFFER
farewell.n.02	the act of departing politely	LEAVE_DEPART_RUN-AWAY
deployment.n.01	the distribution of forces in preparation for battle or work	SORT_CLASSIFY_ARRANGE
devastation.n.03	an event that results in total destruction	DESTROY
depreciation.n.01	a decrease in price or value	REDUCE_DIMINISH
displacement.n.06	to move something from its natural environment	MOVE-SOMETHING
extirpation.n.02	the act of pulling up or out; uprooting; cutting off from existence	CANCEL_ELIMINATE
upset.n.02	the act of disturbing the mind or body	CAUSE-MENTAL-STATE
detection.n.02	the act of detecting something; catching sight of something	FIND
integration.n.01	the action of incorporating a racial or religious group into a community	ALLY_ASSOCIATE_MARRY
design.n.01	the act of working out the form of something (as by making a sketch or outline or plan)	CREATE_MATERIALIZE
desorption.n.01	changing from an adsorbed state on a surface to a gaseous or liquid state	CONVERT
dispatch.n.02	the act of sending off something	SEND
plundering.n.01	the act of stealing valuable things from a place	STEAL_DEPRIVE
spoil.n.03	the act of stripping and taking by force	REMOVE_TAKE-AWAY_KIDNAP
detection.n.04	a police investigation to determine the perpetrator	FIND
observation.n.01	the act of making and recording a measurement	MEASURE_EVALUATE
regulation.n.06	the act of controlling or directing according to rule	ADJUST_CORRECT
development.n.01	act of improving by expanding or enlarging or refining	AMELIORATE
development.n.02	a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)	CHANGE_SWITCH
differentiation.n.01	a discrimination between things as different and distinct	DISTINGUISH_DIFFER
interpenetration.n.02	mutual penetration; diffusion of each through the other	COMBINE_MIX_UNITE
permeation.n.01	the process of permeating or infusing something with a substance	PERMEATE
effort.n.02	use of physical or mental energy; hard work	WORK
labor.n.02	productive work (especially physical work done for wages)	WORK
jab.n.01	a sharp hand gesture (resembling a blow)	HIT
dilapidation.n.02	the process of becoming dilapidated	BREAK_DETERIORATE
drenching.n.01	the act of making something completely wet	WET
sending.n.01	the act of causing something to go (especially messages)	SEND
spending.n.01	the act of spending or disbursing money	CONSUME_SPEND
discharge.n.09	the act of discharging a gun	EMPTY_UNLOAD
fire.n.02	the act of firing weapons or artillery at an enemy	SHOOT_LAUNCH_PROPEL
release.n.11	a formal written statement of relinquishment	GIVE-UP_ABOLISH_ABANDON
noise.n.02	the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience	MAKE-A-SOUND
motion.n.06	the act of changing location from one place to another	TRAVEL
eviction.n.02	the expulsion of someone (such as a tenant) from the possession of land by process of law	STEAL_DEPRIVE
disqualification.n.02	the act of preventing someone from participating by finding them unqualified	PRECLUDE_FORBID_EXPEL
protest.n.02	the act of protesting; a public (often organized) manifestation of dissent	OPPOSE_REBEL_DISSENT
distillation.n.01	the process of purifying a liquid by boiling it and condensing its vapors	WASH_CLEAN
extraction.n.01	the process of obtaining something from a mixture or compound by chemical or physical or mechanical means	COMBINE_MIX_UNITE
refining.n.01	the process of removing impurities (as from oil or metals or sugar etc.)	WASH_CLEAN
plunge.n.02	a steep and rapid fall	FALL_SLIDE-DOWN
division.n.12	the act of dividing or partitioning; separation by the creation of a boundary that divides or keeps apart	SEPARATE_FILTER_DETACH
elimination.n.05	the murder of a competitor	KILL
docking.n.01	the act of securing an arriving vessel with ropes	SECURE_FASTEN_TIE
dogfight.n.04	a violent fight between dogs (sometimes organized illegally for entertainment and gambling)	FIGHT
doubling.n.02	raising the stakes in a card game by a factor of 2	BID
doze.n.01	a light fitful sleep	SLEEP
recruitment.n.01	the act of getting recruits; enlisting people for the army (or for a job or a cause etc.)	HIRE
drain.n.01	emptying something accomplished by allowing liquid to run out of it	EMPTY_UNLOAD
force.n.02	(physics) the influence that produces a change in a physical quantity	INFLUENCE
prolongation.n.01	the act of prolonging something	EXTEND
drip.n.01	flowing in drops; the formation and falling of drops of liquid	FLOW
exercise.n.03	systematic training by multiple repetitions	STUDY
swallow.n.02	the act of swallowing	DRINK
driving.n.02	the act of controlling and steering the movement of a vehicle or animal	DIRECT_AIM_MANEUVER
drive.n.06	hitting a golf ball off of a tee with a driver	HIT
drive.n.12	(sports) a hard straight return (as in tennis or squash)	HIT
drop.n.06	a free and rapid descent by the force of gravity	FALL_SLIDE-DOWN
inhabitancy.n.01	the act of dwelling in or living permanently in a place (said of both animals and men)	STAY_DWELL
erosion.n.01	(geology) the mechanical process of wearing or grinding something down (as by particles washing over it)	CORRODE_WEAR-AWAY_SCRATCH
whirl.n.01	confused movement	MOVE-ONESELF
eradication.n.01	the complete destruction of every trace of something	CANCEL_ELIMINATE
expunction.n.01	deletion by an act of expunging or erasing	CANCEL_ELIMINATE
consequence.n.01	a phenomenon that follows and is caused by some previous phenomenon	RESULT_CONSEQUENCE
implementation.n.02	the act of implementing (providing a practical means for accomplishing something); carrying into effect	CREATE_MATERIALIZE
incitation.n.02	an act of urging on or spurring on or rousing to action or instigating	INCITE_INDUCE
jet.n.02	the occurrence of a sudden discharge (as of liquid)	SHOOT_LAUNCH_PROPEL
stretch.n.05	extension to or beyond the ordinary limit	EXTEND
impalement.n.01	the act of piercing with a sharpened stake as a form of punishment or torture	HOLE_PIERCE
emptying.n.01	the act of removing the contents of something	EMPTY_UNLOAD
emulation.n.03	effort to equal or surpass another	SIMULATE
enactment.n.01	the passing of a law by a legislative body	AUTHORIZE_ADMIT
brush.n.06	a minor short-term fight	FIGHT
meet.n.01	a meeting at which a number of athletic contests are held	MEET
playing.n.02	the action of taking part in a game or sport or other recreation	PLAY_SPORT/GAME
invasion.n.02	any entry into an area not previously occupied	ENTER
striving.n.01	an effortful attempt to attain a goal	TRY
engagement.n.07	the act of sharing in the activities of a group	PARTICIPATE
investigation.n.02	the work of inquiring into something thoroughly and systematically	ANALYZE
listing.n.02	the act of making a list of items	SORT_CLASSIFY_ARRANGE
poisoning.n.02	the act of giving poison to a person or animal with the intent to kill	KILL
erecting.n.01	the act of building or putting up	RAISE
slip.n.02	a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.	MISTAKE
escape.n.07	the discharge of a fluid from some container	SPILL_POUR
examination.n.02	a set of questions or exercises evaluating skill or knowledge	VERIFY
examination.n.05	the act of giving students or candidates a test (as by questions) to determine what they know or have learned	VERIFY
test.n.04	the act of undergoing testing	VERIFY
evacuation.n.02	the act of evacuating; leaving a place in an orderly fashion; especially for protection	LEAVE_DEPART_RUN-AWAY
judgment.n.02	the act of judging or assessing a person or situation or event	SUBJECTIVE-JUDGING
interrogation.n.03	formal systematic questioning	ASK_REQUEST
explanation.n.03	the act of explaining; making something plain or intelligible	EXPLAIN
exfoliation.n.01	the peeling off in flakes or scales of bark or dead skin	BREAK_DETERIORATE
write-off.n.02	the act of cancelling from an account a bad debt or a worthless asset	CANCEL_ELIMINATE
experience.n.03	an event as apprehended	UNDERGO-EXPERIENCE
exploration.n.03	a systematic consideration	ANALYZE
expostulation.n.01	the act of expressing earnest opposition or protest	OPPOSE_REBEL_DISSENT
offer.n.01	the verbal act of offering	OFFER
gallop.n.01	a fast gait of a horse; a two-beat stride during which all four legs are off the ground simultaneously	RUN
winnow.n.01	the act of separating grain from chaff	SEPARATE_FILTER_DETACH
fertilization.n.02	making fertile as by applying fertilizer or manure	GROW_PLOW
zymosis.n.01	a process in which an agent causes an organic substance to break down into simpler substances; especially, the anaerobic breakdown of sugar into alcohol	SEPARATE_FILTER_DETACH
filtration.n.01	the process whereby fluids pass through a filter or a filtering medium	SEPARATE_FILTER_DETACH
financing.n.01	the act of financing	FOLLOW_SUPPORT_SPONSOR_FUND
restitution.n.03	getting something back again	OBTAIN
fixation.n.04	(histology) the preservation and hardening of a tissue sample to retain as nearly as possible the same relations they had in the living body	PRESERVE
relish.n.03	the taste experience when a savoury condiment is taken into the mouth	TASTE
flow.n.04	any uninterrupted stream or discharge	FLOW
variation.n.01	an instance of change; the rate or magnitude of change	CHANGE_SWITCH
flush.n.06	a sudden rapid flow (as of water)	FLOW
liquefaction.n.01	the conversion of a solid or a gas into a liquid	CHANGE-APPEARANCE/STATE
fold.n.07	the act of folding	PRESS_PUSH_FOLD
observation.n.02	the act of observing; taking a patient look	WATCH_LOOK-OUT
push.n.01	the act of applying force in order to move something away	PRESS_PUSH_FOLD
forfeit.n.03	the act of losing or surrendering something as a penalty for a mistake or fault or failure to perform etc.	GIVE-UP_ABOLISH_ABANDON
relinquishment.n.01	a verbal act of renouncing a claim or right or position etc.	GIVE-UP_ABOLISH_ABANDON
relinquishment.n.02	the act of giving up and abandoning a struggle or task etc.	GIVE-UP_ABOLISH_ABANDON
formation.n.02	the act of fabricating something in a particular shape	SHAPE
foul.n.01	an act that violates the rules of a sport	VIOLATE
freeze.n.01	the withdrawal of heat to change something from a liquid to a solid	CHANGE-APPEARANCE/STATE
freeze.n.02	weather cold enough to cause freezing	COOL
freight.n.02	transporting goods commercially at rates cheaper than express rates	CARRY_TRANSPORT
renovation.n.01	the act of improving by renewing and restoring	REPAIR_REMEDY
glare.n.02	an angry stare	FACIAL-EXPRESSION
fruitage.n.01	the yield of fruit	GROW_PLOW
fueling.n.01	the activity of supplying or taking on fuel	FUEL
officiation.n.02	the performance of a religious or ceremonial or public duty	PERFORM
position.n.06	a job in an organization	BE-LOCATED_BASE
gasp.n.01	a short labored intake of breath with the mouth open	BREATH_BLOW
panting.n.01	breathing heavily (as after exertion)	BREATH_BLOW
pickings.n.01	the act of someone who picks up or takes something	TAKE
removal.n.01	the act of removing	REMOVE_TAKE-AWAY_KIDNAP
giving.n.02	the imparting of news or promises etc.	INFORM
refund.n.02	the act of returning money received previously	PAY
glaciation.n.02	the process of covering the earth with glaciers or masses of ice	COVER_SPREAD_SURMOUNT
skim.n.02	reading or glancing through quickly	READ
sound.n.03	mechanical vibrations transmitted by an elastic medium	MAKE-A-SOUND
sound.n.04	the sudden occurrence of an audible event	MAKE-A-SOUND
test.n.05	the act of testing something	VERIFY
rotation.n.03	a single complete turn (axial or orbital)	TURN_CHANGE-DIRECTION
inspection.n.01	a formal or official examination	ANALYZE
government.n.02	the act of governing; exercising authority	LEAD_GOVERN
gradation.n.03	the act of arranging in grades	SORT_CLASSIFY_ARRANGE
mark.n.01	a number or letter indicating quality (especially of a student's performance)	MEASURE_EVALUATE
order.n.15	the act of putting things in a sequential arrangement	SORT_CLASSIFY_ARRANGE
graduation.n.01	the successful completion of a program of study	ACHIEVE
wrestle.n.01	the act of engaging in close hand-to-hand combat	FIGHT
wrestling.n.02	the sport of hand-to-hand struggle between unarmed contestants who try to throw each other down	PLAY_SPORT/GAME
rejuvenation.n.01	the phenomenon of vitality and freshness being restored	HELP_HEAL_CARE_CURE
whimper.n.01	a complaint uttered in a plaintive whining way	CRY
maturation.n.01	coming to full development; becoming mature	GROW_PLOW
guess.n.02	an estimate based on little or no information	GUESS
gulp.n.02	a spasmodic reflex of the throat made as if in swallowing	DRINK
hammer.n.08	the act of pounding (delivering repeated heavy blows)	HIT
soar.n.01	the act of rising upward into the air	FLY
perseverance.n.02	the act of persisting or persevering; continuing or repeating behavior	CONTINUE
listening.n.01	the act of hearing attentively	HEAR_LISTEN
mind.n.05	attention	FOCUS
hit.n.01	(baseball) a successful stroke in an athletic contest (especially in baseball)	HIT
perusal.n.01	reading carefully with intent to remember	STUDY
study.n.02	applying the mind to learning and understanding a subject (especially by reading)	STUDY
wages.n.01	a recompense for worthy acts or retribution for wrongdoing	PAY
hop.n.01	the act of hopping; jumping upward or forward (especially on one foot)	JUMP
hunt.n.07	the work of finding and killing or capturing animals for food or pelts	HUNT
hunt.n.08	the pursuit and killing or capture of wild animals regarded as a sport	HUNT
stab.n.02	a strong blow with a knife or other sharp pointed instrument	HOLE_PIERCE
hyperventilation.n.01	an increased depth and rate of breathing greater than demanded by the body needs; can cause dizziness and tingling of the fingers and toes and chest pain if continued	BREATH_BLOW
recognition.n.02	the process of recognizing something or someone by remembering	RECOGNIZE_ADMIT_IDENTIFY
soak.n.01	the process of becoming softened and saturated as a consequence of being immersed in water (or other liquid)	DIP_DIVE
immigration.n.01	migration into a place (especially migration to a country of which you are not a native in order to settle there)	ARRIVE
impersonation.n.03	imitating the mannerisms of another person	PERFORM
imposture.n.01	pretending to be another person	DECEIVE
inclination.n.08	the act of inclining; bending forward	BEND
individualization.n.01	discriminating the individual from the generic group or species	DISTINGUISH_DIFFER
luxuriation.n.01	an activity that affords excessive pleasure and enjoyment	ENJOY
infiltration.n.01	a process in which individuals (or small groups) penetrate an area (especially the military penetration of enemy positions without detection)	ENTER
thickening.n.03	the act of thickening	CHANGE-APPEARANCE/STATE
installation.n.01	the act of installing something (as equipment)	MOUNT_ASSEMBLE_PRODUCE
rendition.n.04	the act of interpreting something as expressed in an artistic performance	PERFORM
interview.n.01	the questioning of a person (or a conversation in which information is elicited); often conducted by journalists	DISCUSS
bullying.n.01	the act of intimidating a weaker person to make them do something	OBLIGE_FORCE
reversal.n.03	turning in an opposite direction or position	INVERT_REVERSE
rub.n.02	the act of rubbing or wiping	TOUCH
jest.n.02	activity characterized by good humor	JOKE
wiggle.n.01	the act of wiggling	MOVE-ONESELF
nudge.n.01	a slight push or shake	PRESS_PUSH_FOLD
racket.n.01	a loud and disturbing noise	MAKE-A-SOUND
shove.n.01	the act of shoving (giving a push to someone or something)	PRESS_PUSH_FOLD
joust.n.01	a combat between two mounted knights tilting against each other with blunted lances	FIGHT
sustenance.n.03	the act of sustaining life by food or providing a means of subsistence	NOURISH_FEED
massage.n.01	kneading and rubbing parts of the body to increase circulation and promote relaxation	TOUCH
knell.n.01	the sound of a bell rung slowly to announce a death or a funeral or the end of something	MAKE-A-SOUND
knock.n.01	the sound of knocking (as on a door or in an engine or bearing)	MAKE-A-SOUND
ping.n.02	a sharp high-pitched resonant sound (as of a sonar echo or a bullet striking metal)	MAKE-A-SOUND
laceration.n.02	the act of lacerating	CUT
loading.n.05	the labor of putting a load of something on or in a vehicle or ship or container etc.	PUT_APPLY_PLACE_PAVE
lamination.n.02	bonding thin sheets together	MOUNT_ASSEMBLE_PRODUCE
lick.n.02	touching with the tongue	TOUCH
stoning.n.01	the act of pelting with stones; punishment inflicted by throwing stones at the victim (even unto death)	PUNISH
launching.n.03	the act of propelling with force	SHOOT_LAUNCH_PROPEL
set.n.07	the act of putting something in position	PUT_APPLY_PLACE_PAVE
superposition.n.04	the placement of one thing on top of another	OVERLAP
leak.n.05	unauthorized (especially deliberate) disclosure of confidential information	REVEAL
leverage.n.03	investing with borrowed money as a way to amplify potential gains (at the risk of greater losses)	BID
liquidation.n.01	termination of a business operation by using its assets to discharge its liabilities	FINISH_CONCLUDE_END
localization.n.01	a determination of the place where something is	FIND
locking.n.01	the act of locking something up to protect it	PROTECT
relaxation.n.04	an occurrence of control or strength weakening	REDUCE_DIMINISH
underestimate.n.01	an estimation that is too low; an estimate that is less than the true or actual value	CALCULATE_ESTIMATE
passing.n.07	success in satisfying a test or requirement	ACHIEVE
mellowing.n.01	the process of becoming mellow	MAKE-RELAX
miscalculation.n.01	a mistake in calculating	MISTAKE
anachronism.n.01	something located at a time when it could not have existed or occurred	LOCATE-IN-TIME_DATE
mist.n.01	a thin fog with condensation near the ground	METEOROLOGICAL
model.n.09	the act of representing something (usually on a smaller scale)	REPRESENT
overhaul.n.01	periodic maintenance on a car or machine	REPAIR_REMEDY
move.n.02	the act of changing your residence or place of business	LEAVE_DEPART_RUN-AWAY
narration.n.02	the act of giving an account describing incidents or a course of events	SPEAK
neutralization.n.01	action intended to keep a country politically neutral or exclude it from a possible war	COMPENSATE
nip.n.06	a small sharp bite or snip	EAT_BITE
nitrification.n.02	the oxidation of ammonium compounds in dead organic material into nitrates and nitrites by soil bacteria (making nitrogen available to plants)	CONVERT
nod.n.02	the act of nodding the head	SIGN
scent.n.02	an odor left in passing by which a person or animal can be traced	EMIT
smell.n.01	the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form	SMELL
first_step.n.01	the first of a series of actions	BEGIN
overestimate.n.02	a calculation that results in an estimate that is too high	CALCULATE_ESTIMATE
step.n.03	the act of changing location by raising the foot and setting it down	GO-FORWARD
parcellation.n.01	the division into parcels	SEPARATE_FILTER_DETACH
parody.n.02	humorous or satirical mimicry	JOKE
percolation.n.03	the filtration of a liquid for extraction or purification	WASH_CLEAN
place_kick.n.01	(sports) a kick in which the ball is placed on the ground before kicking	HIT
splash.n.01	the sound like water splashing	MAKE-A-SOUND
splash.n.06	the act of scattering water about haphazardly	WET
shimmer.n.01	a weak and tremulous light	LIGHT_SHINE
