wn:00902108n	a-scan_ultrasonography%1:04:00::
wn:00616807n	data_encryption%1:04:00::
wn:13455234n	data_mining%1:22:00::
wn:13455487n	data_processing%1:22:00::
wn:01133933n	database_management%1:04:00::
wn:00773673n	date_rape%1:04:00::
wn:00992331n	dating%1:04:00::
wn:07326108n	dawn%1:11:01::
wn:00456465n	day_game%1:04:00::
wn:01210439n	daycare%1:04:00::
wn:11444038n	daylight%1:19:00::
wn:00355252n	de-escalation%1:04:00::
wn:13460863n	de-iodination%1:22:00::
wn:00233795n	deactivation%1:04:01::
wn:00233614n	deactivation%1:04:00::
wn:00443375n	dead-man's_float%1:04:00::
wn:07354009n	dead_heat%1:11:00::
wn:00817394n	dead_reckoning%1:04:00::
wn:01110274n	deal%1:04:02::
wn:07293180n	deal%1:11:00::
wn:01085337n	deal%1:04:00::
wn:01084637n	deal%1:04:01::
wn:13455906n	dealignment%1:22:00::
wn:01135372n	dealing%1:04:01::
wn:00040804n	dealings%1:04:02::
wn:13456071n	deamination%1:22:00::
wn:00591725n	deanship%1:04:00::
wn:06808271n	death's_head%1:10:00::
wn:07355491n	death%1:11:00::
wn:11444117n	death%1:19:00::
wn:00219575n	death%1:04:00::
wn:07286999n	death_knell%1:11:00::
wn:00219463n	deathblow%1:04:00::
wn:07365432n	debacle%1:11:02::
wn:11454953n	debacle%1:19:00::
wn:00058002n	debarkation%1:04:00::
wn:01077881n	debarment%1:04:00::
wn:07242104n	debate%1:10:00::
wn:07331210n	debilitation%1:11:00::
wn:00669932n	debridement%1:04:00::
wn:07220466n	debriefing%1:10:00::
wn:07440411n	debris_surge%1:11:00::
wn:07217579n	debut%1:10:00::
wn:13456252n	decalcification%1:22:00::
wn:00935453n	decalcomania%1:04:00::
wn:11444371n	decalescence%1:19:00::
wn:00055227n	decampment%1:04:00::
wn:00935608n	decantation%1:04:00::
wn:01165224n	decapitation%1:04:01::
wn:00228181n	decapitation%1:04:00::
wn:13456367n	decarboxylation%1:22:00::
wn:07457016n	decathlon%1:11:00::
wn:13456715n	decay%1:22:02::
wn:13456567n	decay%1:22:01::
wn:11444643n	decay%1:19:00::
wn:13456899n	decay%1:22:03::
wn:05061345n	deceleration%1:07:00::
wn:00330674n	deceleration%1:04:00::
wn:13457181n	decentralization%1:22:00::
wn:01238058n	decentralization%1:04:00::
wn:00752431n	deception%1:04:00::
wn:05737982n	decile%1:09:00::
wn:00194414n	decimalization%1:04:00::
wn:00218427n	decimation%1:04:00::
wn:00162632n	decision%1:04:00::
wn:07293678n	decision%1:11:02::
wn:07293546n	decision%1:11:01::
wn:05788149n	decision_making%1:09:00::
wn:00481938n	deck_tennis%1:04:00::
wn:07242324n	declamation%1:10:00::
wn:07242470n	declamation%1:10:01::
wn:01149115n	declassification%1:04:00::
wn:13457378n	decline%1:22:02::
wn:13457665n	decoction%1:22:00::
wn:13457831n	decoction_process%1:22:00::
wn:00617059n	decoding%1:04:00::
wn:01082548n	decolonization%1:04:00::
wn:13458268n	decomposition%1:22:01::
wn:13458019n	decomposition%1:22:00::
wn:00616641n	decompression%1:04:01::
wn:00357451n	decompression%1:04:00::
wn:00394485n	decontamination%1:04:00::
wn:00262249n	decoration%1:04:00::
wn:00670105n	decortication%1:04:00::
wn:00935786n	decoupage%1:04:00::
wn:07355887n	decrease%1:11:00::
wn:13458571n	decrease%1:22:00::
wn:00351638n	decrease%1:04:00::
wn:07383092n	decrepitation%1:11:00::
wn:01126151n	decriminalization%1:04:00::
wn:07452348n	dedication%1:11:00::
wn:13458840n	dedifferentiation%1:22:00::
wn:05780885n	deduction%1:09:01::
wn:05774129n	deduction%1:09:00::
wn:00297951n	deep_fording%1:04:00::
wn:00989122n	deep_supporting_fire%1:04:00::
wn:13458968n	deepening%1:22:00::
wn:00453313n	deer_hunting%1:04:00::
wn:00711727n	deerstalking%1:04:00::
wn:00403466n	defacement%1:04:00::
wn:00067397n	default%1:04:00::
wn:13300411n	default%1:21:02::
wn:01188537n	default_judgment%1:04:00::
wn:05791864n	default_option%1:09:00::
wn:07475364n	defeat%1:11:00::
wn:13459088n	defecation%1:22:00::
wn:00811221n	defecation_reflex%1:04:00::
wn:00116989n	defenestration%1:04:00::
wn:00954311n	defense%1:04:00::
wn:00823750n	defense%1:04:03::
wn:01198750n	defense%1:04:02::
wn:00823532n	defense%1:04:01::
wn:13459322n	defense_mechanism%1:22:00::
wn:01228877n	deference%1:04:00::
wn:07368482n	defervescence%1:11:00::
wn:07231943n	defiance%1:10:00::
wn:01170320n	defiance%1:04:01::
wn:00698959n	defibrillation%1:04:00::
wn:01122754n	deficit_spending%1:04:00::
wn:06015863n	definite_integral%1:09:00::
wn:13450417n	deflagration%1:22:00::
wn:13499165n	deflation%1:22:01::
wn:13459821n	deflation%1:22:00::
wn:00361932n	deflation%1:04:00::
wn:13499590n	deflationary_spiral%1:22:00::
wn:07410883n	deflection%1:11:00::
wn:07310839n	deflection%1:11:01::
wn:00966718n	defloration%1:04:01::
wn:00844994n	defloration%1:04:00::
wn:13460034n	defoliation%1:22:00::
wn:00279674n	defoliation%1:04:00::
wn:01262441n	deforestation%1:04:00::
wn:07358060n	deformation%1:11:01::
wn:13460129n	degaussing%1:22:00::
wn:13460299n	degeneration%1:22:00::
wn:07426893n	degeneration%1:11:00::
wn:00271263n	degradation%1:04:00::
wn:11444816n	dehiscence%1:19:00::
wn:00271636n	dehumanization%1:04:00::
wn:13460568n	dehydration%1:22:00::
wn:01029114n	deification%1:04:00::
wn:00882045n	dekko%1:04:00::
wn:01066163n	delay%1:04:00::
wn:00165178n	delegacy%1:04:00::
wn:01140839n	delegating%1:04:00::
wn:07425577n	deletion%1:11:00::
wn:00394610n	deletion%1:04:00::
wn:00961328n	deliberate_defense%1:04:00::
wn:05785067n	deliberation%1:09:01::
wn:05751707n	delicacy%1:09:00::
wn:00736219n	delinquency%1:04:00::
wn:00317207n	delivery%1:04:04::
wn:07320622n	delivery%1:11:00::
wn:01108753n	delivery%1:04:01::
wn:00042541n	delivery%1:04:02::
wn:11445187n	delta_rhythm%1:19:00::
wn:00754767n	delusion%1:04:00::
wn:13460991n	demagnetization%1:22:00::
wn:07187297n	demagoguery%1:10:00::
wn:13461390n	demand-pull_inflation%1:22:00::
wn:13461162n	demand%1:22:00::
wn:01061333n	demand%1:04:00::
wn:01058181n	demand_feeding%1:04:00::
wn:07232189n	demand_for_identification%1:10:00::
wn:00168121n	demarche%1:04:00::
wn:13461525n	demineralization%1:22:00::
wn:01158190n	demobilization%1:04:00::
wn:01237294n	democratization%1:04:00::
wn:01249483n	demolition%1:04:00::
wn:00155085n	demonetization%1:04:00::
wn:00521970n	demonstration%1:04:02::
wn:01177703n	demonstration%1:04:01::
wn:00272713n	demoralization%1:04:00::
wn:00198793n	demotion%1:04:00::
wn:07209089n	demur%1:10:00::
wn:01066545n	demurrage%1:04:00::
wn:01152033n	denationalization%1:04:00::
wn:13461722n	denazification%1:22:00::
wn:07204401n	denial%1:10:00::
wn:13461951n	denial%1:22:00::
wn:07293080n	denouement%1:11:00::
wn:01002008n	densitometry%1:04:00::
wn:11413661n	dent%1:19:00::
wn:00656292n	dental_care%1:04:00::
wn:00632017n	dental_practice%1:04:00::
wn:01024547n	dental_procedure%1:04:00::
wn:00394803n	denudation%1:04:00::
wn:07232988n	denunciation%1:10:00::
wn:13462084n	deossification%1:22:00::
wn:00042757n	departure%1:04:00::
wn:00932298n	depersonalization%1:04:00::
wn:05766984n	depicting%1:09:00::
wn:00900726n	depiction%1:04:00::
wn:00254597n	depilation%1:04:00::
wn:00356199n	depletion%1:04:00::
wn:01143409n	deployment%1:04:00::
wn:11492240n	depolarization%1:19:00::
wn:00207306n	deportation%1:04:01::
wn:11445395n	deposit%1:19:00::
wn:00372448n	deposit%1:04:00::
wn:13462191n	deposition%1:22:00::
wn:07194499n	deposition%1:10:00::
wn:00208943n	deposition%1:04:00::
wn:00746866n	depravity%1:04:00::
wn:07189932n	deprecation%1:10:00::
wn:01220152n	deprecation%1:04:00::
wn:00364600n	depreciation%1:04:00::
wn:00967310n	depredation%1:04:00::
wn:00112674n	depression%1:04:01::
wn:07302267n	derailment%1:11:00::
wn:00805337n	deregulation%1:04:00::
wn:00738966n	dereliction%1:04:00::
wn:01224517n	derision%1:04:00::
wn:05780718n	derivation%1:09:00::
wn:13462387n	derivation%1:22:00::
wn:00392582n	derivation%1:04:02::
wn:00392468n	derivation%1:04:01::
wn:00392335n	derivation%1:04:00::
wn:06014730n	derived_function%1:09:00::
wn:00395017n	dermabrasion%1:04:00::
wn:14181948n	dermatomycosis%1:26:00::
wn:00232147n	derogation%1:04:00::
wn:00043116n	derring-do%1:04:00::
wn:13462795n	desalination%1:22:00::
wn:07363346n	descent%1:11:00::
wn:00326440n	descent%1:04:00::
wn:07201365n	description%1:10:00::
wn:13463255n	desensitization%1:22:00::
wn:00701755n	desensitization_technique%1:04:00::
wn:13462989n	desertification%1:22:00::
wn:00055315n	desertion%1:04:00::
wn:07294423n	deserts%1:11:00::
wn:00928077n	design%1:04:00::
wn:00152018n	designation%1:04:01::
wn:01102256n	desktop_publishing%1:04:00::
wn:13463490n	desorption%1:22:00::
wn:00179125n	desperate_measure%1:04:00::
wn:00418787n	despite%1:04:00::
wn:11445564n	desquamation%1:19:00::
wn:07356489n	destabilization%1:11:00::
wn:01159461n	destabilization%1:04:00::
wn:13463656n	destalinization%1:22:00::
wn:07330007n	destiny%1:11:00::
wn:00217014n	destruction%1:04:00::
wn:07334490n	destruction%1:11:00::
wn:00990590n	destruction_fire%1:04:00::
wn:13464031n	destructive_distillation%1:22:00::
wn:00390906n	detachment%1:04:00::
wn:07137807n	detail%1:10:00::
wn:05710687n	detection%1:09:00::
wn:00151087n	detection%1:04:00::
wn:00635205n	detection%1:04:01::
wn:00355420n	detente%1:04:00::
wn:01161635n	detention%1:04:00::
wn:13464204n	deterioration%1:22:00::
wn:00151497n	determination%1:04:00::
wn:05788552n	determination%1:09:01::
wn:01076488n	deterrence%1:04:00::
wn:00377686n	detonation%1:04:00::
wn:00699320n	detoxification%1:04:01::
wn:00699146n	detoxification%1:04:00::
wn:01220754n	detraction%1:04:00::
wn:01152583n	detribalization%1:04:01::
wn:00382906n	detribalization%1:04:00::
wn:07420538n	detriment%1:11:00::
wn:13464440n	detumescence%1:22:00::
wn:00805524n	devaluation%1:04:01::
wn:00353992n	devaluation%1:04:00::
wn:07335414n	devastation%1:11:00::
wn:00250259n	development%1:04:01::
wn:13464820n	development%1:22:02::
wn:07423560n	development%1:11:01::
wn:13464557n	development%1:22:00::
wn:05753207n	developmental_learning%1:09:00::
wn:07366289n	deviation%1:11:00::
wn:00737399n	deviation%1:04:00::
wn:00055932n	deviationism%1:04:00::
wn:00171249n	device%1:04:00::
wn:00745943n	deviltry%1:04:00::
wn:00940709n	devisal%1:04:00::
wn:00923995n	devising%1:04:00::
wn:00354183n	devitalization%1:04:00::
wn:01229712n	devoir%1:04:00::
wn:01141160n	devolution%1:04:00::
wn:01206553n	devotion%1:04:01::
wn:01042764n	devotion%1:04:00::
wn:01032810n	devotional%1:04:00::
wn:14834132n	dew%1:27:00::
wn:07441373n	dextrorotation%1:11:00::
wn:14125774n	dhobi_itch%1:26:00::
wn:01046006n	diabolatry%1:04:00::
wn:00152727n	diagnosis%1:04:00::
wn:00177127n	diagnostic_procedure%1:04:00::
wn:05739043n	diagnostic_test%1:09:00::
wn:05783357n	diagonalization%1:09:00::
wn:06163396n	dialectics%1:09:01::
wn:00649760n	dialysis%1:04:00::
wn:11479816n	diamagnetism%1:19:00::
wn:11446598n	diapedesis%1:19:00::
wn:07331932n	diaspora%1:11:00::
wn:07401236n	diastole%1:11:00::
wn:11430659n	diastolic_pressure%1:19:00::
wn:13465382n	diastrophism%1:22:00::
wn:00662017n	diathermy%1:04:00::
wn:00389135n	dichotomization%1:04:00::
wn:11446771n	dichroism%1:19:00::
wn:05745369n	dick_test%1:09:00::
wn:11449784n	dielectric_heating%1:19:00::
wn:01070187n	diet%1:04:00::
wn:05712892n	difference_threshold%1:09:00::
wn:00653171n	differential_blood_count%1:04:00::
wn:00153499n	differential_diagnosis%1:04:00::
wn:05748285n	differentiation%1:09:00::
wn:00870640n	differentiation%1:04:01::
wn:11446934n	diffraction%1:19:00::
wn:09266790n	diffuse_nebula%1:17:00::
wn:13465530n	diffusion%1:22:00::
wn:07331600n	diffusion%1:11:00::
wn:00135311n	dig%1:04:02::
wn:13465998n	digestion%1:22:01::
wn:13465809n	digestion%1:22:00::
wn:05753379n	digestion%1:09:00::
wn:06278830n	digital_communication%1:10:00::
wn:00950526n	digital_communications_technology%1:04:00::
wn:13466170n	digital_photography%1:22:00::
wn:00709843n	digitalization%1:04:00::
wn:05803212n	digitization%1:09:00::
wn:00310201n	digression%1:04:01::
wn:00850873n	dihybrid_cross%1:04:00::
wn:13466312n	dilapidation%1:22:00::
wn:07137950n	dilation%1:10:00::
wn:00365995n	dilation%1:04:00::
wn:00670250n	dilation_and_curettage%1:04:00::
wn:00362659n	dilution%1:04:00::
wn:07571547n	dim_sum%1:13:00::
wn:11493083n	dimorphism%1:19:01::
wn:11492643n	dimorphism%1:19:00::
wn:07383616n	ding-dong%1:11:00::
wn:07383257n	ding%1:11:00::
wn:00840517n	dining%1:04:00::
wn:00173172n	dint%1:04:00::
wn:00511676n	dionysia%1:04:00::
wn:07364434n	dip%1:11:00::
wn:00442847n	dip%1:04:00::
wn:00435013n	dip%1:04:01::
wn:11483354n	dipole_moment%1:19:00::
wn:01168369n	direct_action%1:04:00::
wn:11447153n	direct_current%1:19:00::
wn:07138736n	direct_discourse%1:10:00::
wn:07195241n	direct_examination%1:10:00::
wn:00990719n	direct_fire%1:04:00::
wn:00301598n	direct_flight%1:04:00::
wn:01112739n	direct_marketing%1:04:00::
wn:00182723n	direct_primary%1:04:00::
wn:00972112n	direct_support%1:04:00::
wn:00989385n	direct_supporting_fire%1:04:00::
wn:07402873n	direct_tide%1:11:00::
wn:00890568n	directed_study%1:04:00::
wn:01192814n	directed_verdict%1:04:00::
wn:00591858n	directorship%1:04:00::
wn:01223766n	dirty_pool%1:04:00::
wn:00514041n	dirty_trick%1:04:00::
wn:01223877n	dirty_tricks%1:04:00::
wn:00980394n	dirty_war%1:04:00::
wn:07180787n	disagreement%1:10:00::
wn:00053609n	disappearance%1:04:00::
wn:07335716n	disappearance%1:11:00::
wn:07336346n	disappearance%1:11:01::
wn:00068755n	disappointment%1:04:00::
wn:00874621n	disapproval%1:04:00::
wn:01157557n	disarming%1:04:00::
wn:00847932n	disassortative_mating%1:04:00::
wn:00217499n	disaster%1:04:00::
wn:07205946n	disavowal%1:10:00::
wn:01082720n	disbandment%1:04:00::
wn:00206779n	disbarment%1:04:00::
wn:00091503n	discard%1:04:01::
wn:00091234n	discard%1:04:00::
wn:07307754n	discharge%1:11:00::
wn:01253277n	discharge%1:04:04::
wn:13466586n	discharge%1:22:00::
wn:11511523n	discharge%1:19:00::
wn:07407777n	discharge%1:11:01::
wn:00123234n	discharge%1:04:00::
wn:00592001n	discipleship%1:04:00::
wn:00893836n	discipline%1:04:00::
wn:01161821n	discipline%1:04:01::
wn:07207680n	disclaimer%1:10:00::
wn:07213395n	disclosure%1:10:00::
wn:00274707n	discoloration%1:04:00::
wn:00385649n	disconnection%1:04:00::
wn:01022483n	discontinuance%1:04:00::
wn:07181546n	discord%1:10:00::
wn:01170175n	discord%1:04:01::
wn:00362103n	discount%1:04:00::
wn:01101114n	discount_business%1:04:00::
wn:01076724n	discouragement%1:04:00::
wn:01224031n	discourtesy%1:04:00::
wn:00167580n	discovered_check%1:04:00::
wn:00043195n	discovery%1:04:00::
wn:07214432n	discovery%1:10:00::
wn:05808218n	discovery%1:09:00::
wn:07214642n	discovery%1:10:01::
wn:07366627n	discrepancy%1:11:00::
wn:01153548n	discrimination%1:04:00::
wn:05748054n	discrimination%1:09:00::
wn:07470285n	discus%1:11:00::
wn:07138085n	discussion%1:10:02::
wn:07305760n	disembarrassment%1:11:00::
wn:00670703n	disembowelment%1:04:00::
wn:01140029n	disenfranchisement%1:04:00::
wn:00057306n	disengagement%1:04:00::
wn:01082886n	disestablishment%1:04:00::
wn:01022824n	disfranchisement%1:04:00::
wn:01049266n	disguise%1:04:00::
wn:00749574n	dishonesty%1:04:00::
wn:00234105n	dishonorable_discharge%1:04:00::
wn:00255600n	dishwashing%1:04:00::
wn:00709521n	disinfection%1:04:00::
wn:00251520n	disinfestation%1:04:00::
wn:13466849n	disinflation%1:22:00::
wn:01022992n	disinheritance%1:04:00::
wn:00396509n	disinvestment%1:04:00::
wn:03208815n	disk_access%1:06:00::
wn:07299965n	disk_error%1:11:00::
wn:07367385n	dislocation%1:11:00::
wn:00553362n	dislocation%1:04:00::
wn:00395199n	dislodgment%1:04:00::
wn:00912274n	dismantling%1:04:00::
wn:07433510n	dismemberment%1:11:00::
wn:07213079n	dismissal%1:10:00::
wn:00216174n	dismissal%1:04:00::
wn:01252800n	dismount%1:04:00::
wn:01179707n	disobedience%1:04:00::
wn:00771713n	disorderly_conduct%1:04:00::
wn:00552922n	disorganization%1:04:00::
wn:07207860n	disownment%1:10:00::
wn:01219893n	disparagement%1:04:00::
wn:00061290n	dispatch%1:04:00::
wn:00222248n	dispatch%1:04:01::
wn:01142014n	dispensation%1:04:01::
wn:01083504n	dispensation%1:04:00::
wn:14588646n	dispersed_phase%1:27:00::
wn:14588797n	dispersing_phase%1:27:00::
wn:07331759n	dispersion%1:11:00::
wn:00368592n	dispersion%1:04:00::
wn:13467224n	displacement%1:22:01::
wn:13467009n	displacement%1:22:00::
wn:00315830n	displacement%1:04:03::
wn:00209446n	displacement%1:04:01::
wn:00521209n	display%1:04:00::
wn:07213717n	display%1:10:02::
wn:00043609n	disposal%1:04:00::
wn:07181935n	dispute%1:10:00::
wn:01170813n	dispute%1:04:00::
wn:01078086n	disqualification%1:04:00::
wn:05706629n	disregard%1:09:00::
wn:00418615n	disregard%1:04:01::
wn:00553173n	disruption%1:04:00::
wn:00387214n	dissection%1:04:01::
wn:05782140n	dissection%1:09:00::
wn:00648931n	dissection%1:04:02::
wn:06253140n	dissemination%1:10:00::
wn:07209305n	dissent%1:10:02::
wn:07181358n	dissent%1:10:03::
wn:01209791n	disservice%1:04:00::
wn:07181208n	dissidence%1:10:00::
wn:07434782n	dissilience%1:11:00::
wn:13467443n	dissimilation%1:22:01::
wn:07332148n	dissipation%1:11:00::
wn:00384802n	dissociation%1:04:00::
wn:13467700n	dissociation%1:22:00::
wn:13467916n	dissolution%1:22:00::
wn:00215314n	dissolution%1:04:00::
wn:01241216n	dissolution_of_marriage%1:04:00::
wn:13468094n	dissolving%1:22:00::
wn:07245686n	dissuasion%1:10:00::
wn:00936901n	distemper%1:04:00::
wn:00366317n	distention%1:04:00::
wn:13468306n	distillation%1:22:00::
wn:07433973n	distortion%1:11:00::
wn:11511765n	distortion%1:19:01::
wn:00751529n	distortion%1:04:00::
wn:00073713n	distortion%1:04:01::
wn:05706547n	distraction%1:09:01::
wn:00200041n	distraction%1:04:02::
wn:00085829n	distress%1:04:00::
wn:13468542n	distributed_data_processing%1:22:00::
wn:00990843n	distributed_fire%1:04:00::
wn:01083077n	distribution%1:04:00::
wn:01112885n	distribution%1:04:01::
wn:01113595n	distribution_channel%1:04:00::
wn:00333829n	disturbance%1:04:00::
wn:00385501n	disunion%1:04:00::
wn:13468786n	dithering%1:22:00::
wn:07239428n	dithyramb%1:10:01::
wn:07444392n	diurnal_variation%1:11:00::
wn:00388959n	divarication%1:04:00::
wn:00979180n	dive-bombing%1:04:00::
wn:00442981n	dive%1:04:01::
wn:00326677n	dive%1:04:00::
wn:01004072n	divergence%1:04:00::
wn:05797177n	divergent_thinking%1:09:00::
wn:00195569n	diversification%1:04:00::
wn:00426928n	diversion%1:04:00::
wn:00350380n	diversion%1:04:01::
wn:00975270n	diversion%1:04:02::
wn:00972521n	diversionary_landing%1:04:00::
wn:01115017n	divestiture%1:04:00::
wn:05776212n	divination%1:09:00::
wn:01033714n	divine_office%1:04:00::
wn:07466415n	diving%1:11:00::
wn:00385791n	division%1:04:00::
wn:07181842n	division%1:10:00::
wn:00870912n	division%1:04:01::
wn:00397953n	division%1:04:02::
wn:01201271n	divorce%1:04:00::
wn:07214267n	divulgence%1:10:00::
wn:00540701n	do-si-do%1:04:00::
wn:00052146n	docking%1:04:00::
wn:00432356n	doctor%1:04:00::
wn:06616806n	documentary%1:10:00::
wn:00154433n	documentation%1:04:00::
wn:00575657n	doddle%1:04:00::
wn:00059895n	dodge%1:04:00::
wn:00915574n	dog_breeding%1:04:00::
wn:00570572n	dog_paddle%1:04:00::
wn:07459868n	dog_racing%1:11:00::
wn:00519492n	dog_show%1:04:00::
wn:07458212n	dogfight%1:11:00::
wn:00974224n	dogfight%1:04:01::
wn:00971802n	dogfight%1:04:00::
wn:00294366n	dogtrot%1:04:00::
wn:01065607n	dolce_far_niente%1:04:00::
wn:11447691n	doldrums%1:19:00::
wn:00574790n	dolphin_kick%1:04:00::
wn:00301728n	domestic_flight%1:04:00::
wn:00763787n	domestic_terrorism%1:04:00::
wn:00965718n	domestic_violence%1:04:00::
wn:13468954n	domestication%1:22:00::
wn:00194257n	domestication%1:04:00::
wn:00409075n	domesticity%1:04:00::
wn:11413800n	dominance%1:19:00::
wn:01128390n	domination%1:04:00::
wn:11414041n	domino_effect%1:19:00::
wn:00499477n	dominoes%1:04:00::
wn:06881360n	donkey%1:10:00::
wn:07334206n	doom%1:11:00::
wn:11513179n	doppler_effect%1:19:00::
wn:00405892n	dorsiflexion%1:04:00::
wn:01002165n	dosimetry%1:04:00::
wn:00178177n	double-blind_procedure%1:04:00::
wn:00132756n	double%1:04:00::
wn:00793844n	double_blind%1:04:00::
wn:11437823n	double_bond%1:19:00::
wn:00749991n	double_cross%1:04:00::
wn:13469066n	double_decomposition%1:22:00::
wn:00478855n	double_dribble%1:04:00::
wn:00485815n	double_dutch%1:04:00::
wn:00619578n	double_entry%1:04:00::
wn:00071546n	double_fault%1:04:00::
wn:01198068n	double_jeopardy%1:04:00::
wn:00435182n	double_leg_circle%1:04:00::
wn:07205308n	double_negative%1:10:00::
wn:00564373n	double_play%1:04:00::
wn:11503482n	double_refraction%1:19:00::
wn:13469317n	double_replacement_reaction%1:22:00::
wn:00102039n	double_stopping%1:04:00::
wn:00863417n	double_take%1:04:00::
wn:00483605n	doubles%1:04:01::
wn:00483508n	doubles%1:04:00::
wn:05726237n	doublethink%1:09:00::
wn:13469526n	doubling%1:22:00::
wn:00803394n	doubling%1:04:01::
wn:00695717n	douche%1:04:00::
wn:06881494n	dove%1:10:00::
wn:00148762n	doweling%1:04:00::
wn:00547960n	down-bow%1:04:00::
wn:00458286n	down%1:04:00::
wn:11522730n	downdraft%1:19:00::
wn:07318133n	downfall%1:11:01::
wn:07463872n	downhill%1:11:00::
wn:11502102n	downpour%1:19:00::
wn:00169147n	downshift%1:04:01::
wn:00169047n	downshift%1:04:00::
wn:00266560n	downspin%1:04:00::
wn:00571956n	downswing%1:04:00::
wn:01110811n	downtick%1:04:00::
wn:00266401n	downturn%1:04:00::
wn:05776679n	dowse%1:09:00::
wn:00858849n	doze%1:04:00::
wn:11522448n	draft%1:19:00::
wn:00115667n	draft%1:04:00::
wn:00930736n	drafting%1:04:01::
wn:00608037n	drafting%1:04:02::
wn:11504898n	drag%1:19:00::
wn:00114871n	drag%1:04:00::
wn:00396029n	drain%1:04:00::
wn:01062255n	drain%1:04:01::
wn:07290278n	drama%1:11:00::
wn:00099267n	dramatic_production%1:04:00::
wn:00886456n	dramatics%1:04:00::
wn:00930868n	dramatization%1:04:01::
wn:00899292n	dramatization%1:04:00::
wn:07006119n	dramaturgy%1:10:00::
wn:07353716n	draw%1:11:00::
wn:00497536n	draw%1:04:01::
wn:00115036n	draw%1:04:00::
wn:00935940n	drawing%1:04:01::
wn:00392093n	drawing%1:04:02::
wn:05768553n	dream%1:09:01::
wn:00277811n	drenching%1:04:00::
wn:00897365n	dress_rehearsal%1:04:00::
wn:00288000n	dressage%1:04:00::
wn:00828862n	dressing%1:04:02::
wn:00828237n	dressing%1:04:00::
wn:00696882n	dressing%1:04:01::
wn:00608162n	dressmaking%1:04:00::
wn:00478647n	dribble%1:04:00::
wn:11447851n	drift%1:19:00::
wn:13469674n	drift%1:22:01::
wn:13469893n	drift%1:22:02::
wn:07366799n	driftage%1:11:00::
wn:00297404n	drifting%1:04:00::
wn:00894359n	drill%1:04:01::
wn:00942799n	drilling%1:04:01::
wn:00748515n	drink%1:04:00::
wn:00843128n	drinking%1:04:00::
wn:00748834n	drinking_bout%1:04:00::
wn:07432559n	drip%1:11:00::
wn:07383323n	drip%1:11:01::
wn:00919201n	drip_culture%1:04:00::
wn:00695160n	drip_feed%1:04:00::
wn:07407459n	dripping%1:11:00::
wn:00219738n	drive-by_killing%1:04:00::
wn:00225361n	drive-by_shooting%1:04:00::
wn:00103834n	drive%1:04:04::
wn:00572489n	drive%1:04:03::
wn:00317594n	drive%1:04:06::
wn:00307631n	drive%1:04:00::
wn:00567044n	drive%1:04:05::
wn:00298497n	driving%1:04:00::
wn:11502322n	drizzle%1:19:00::
wn:00515069n	drollery%1:04:00::
wn:07362386n	drop%1:11:00::
wn:00327366n	drop%1:04:00::
wn:00567280n	drop_shot%1:04:00::
wn:00137877n	dropkick%1:04:00::
wn:00621476n	drudgery%1:04:00::
wn:00086547n	drug_bust%1:04:00::
wn:01114055n	drug_traffic%1:04:00::
wn:01236491n	drug_war%1:04:00::
wn:07383475n	drum%1:11:00::
wn:01214408n	drumbeat%1:04:00::
wn:00545194n	drumming%1:04:00::
wn:01247306n	dry-gulching%1:04:00::
wn:00252169n	dry_cleaning%1:04:00::
wn:13470015n	dry_plate%1:22:00::
wn:00912165n	dry_walling%1:04:00::
wn:05720521n	dub%1:09:00::
wn:00453396n	ducking%1:04:01::
wn:00462557n	duckpins%1:04:00::
wn:00459845n	ducks_and_drakes%1:04:00::
wn:01131794n	due_care%1:04:00::
wn:01181475n	due_process%1:04:00::
wn:01172784n	duel%1:04:00::
wn:00789237n	duel%1:04:01::
wn:00496437n	dummy_whist%1:04:00::
wn:01115589n	dumping%1:04:00::
wn:00451768n	dune_cycling%1:04:00::
wn:00110554n	dunk%1:04:00::
wn:01019703n	duplication%1:04:00::
wn:00753240n	duplicity%1:04:00::
wn:11441980n	dust_cloud%1:19:00::
wn:00277267n	dust_contamination%1:04:00::
wn:11448013n	dust_devil%1:19:00::
wn:11448153n	dust_storm%1:19:00::
wn:00108081n	duster%1:04:00::
wn:01115734n	dutch_auction%1:04:00::
wn:00841527n	dutch_treat%1:04:00::
wn:01129920n	duty%1:04:00::
wn:00719494n	duty%1:04:02::
wn:07422800n	dwindling%1:11:00::
wn:13470392n	dyadic_operation%1:22:00::
wn:00275424n	dyeing%1:04:00::
wn:11514559n	dynamic_electricity%1:19:00::
wn:01092974n	e-commerce%1:04:00::
wn:06881563n	eagle%1:10:00::
wn:05703205n	ear%1:09:01::
wn:07223094n	earful%1:10:01::
wn:00189896n	earned_run%1:04:00::
wn:07428954n	earthquake%1:11:00::
wn:01224346n	easiness%1:04:00::
wn:07357101n	easing%1:11:00::
wn:00354884n	easing%1:04:00::
wn:11448343n	east_wind%1:19:00::
wn:00838367n	eating%1:04:00::
wn:13470491n	ebb%1:22:01::
wn:07402147n	ebb%1:11:00::
wn:07402393n	ebbtide%1:11:00::
wn:13470687n	eburnation%1:22:00::
wn:00492195n	ecarte%1:04:00::
wn:13470868n	ecchymosis%1:22:00::
wn:01213234n	ecclesiasticism%1:04:00::
wn:07200290n	echo%1:10:00::
wn:01021119n	echo%1:04:00::
wn:00832306n	echocardiography%1:04:00::
